Plot_period;Averaging;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_proton_uncertainty;Bg_proton_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2021-05-07-1630;Mean;0;0.0533278;0.0038178004;0.004112199;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:00:00;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;;1.0
2021-05-08-0030;Resampled to 1min;1;0.05592919;0.00395919;0.004260808;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:47:00;248.72672;1103.4421;854.71545;551.72109375;33.538304141692095;3.4855663776397705;273.57126;24.844543;-1.0;552.7395255754711;0.6466941985464454;1.0
;;2;0.058855973;0.003625974;0.0038640276;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:05:00;194.21428;1030.1802;835.9659;728.4473307291667;40.496478401825996;2.9364662170410156;168.84695;-25.367325;-1.0;729.5721200877932;0.872729541200478;1.0
;;3;0.061322063;0.0035320632;0.00374794;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:01:00;78.461555;1994.2311;1915.7695;891.847265625;22.649898968165246;10.90558910369873;160.53148;82.06992;0.4671860933303833;892.13483461081;0.46567962380564143;1.0
;;4;0.0641972;0.0034471974;0.003642805;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:41:00;82.57829;1007.4552;924.8769;581.6545572916667;21.32162359481556;6.343010902404785;118.44218;35.863884;-1.0;582.045217874766;0.6293218295892135;1.0
;;5;0.06808804;0.0035380423;0.0037319586;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:24:00;61.547432;703.9487;642.4013;406.4249674479167;15.386857241396275;4.765337944030762;101.25956;39.712128;-1.0;406.7161289410677;0.6331184651181517;1.0
;;6;0.07228248;0.0033724755;0.0035375208;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:03:00;40.810028;1106.4052;1065.5951;553.2026041666667;13.603342951655835;8.07040786743164;88.37469;47.56466;0.3602364659309387;553.3698331100477;0.5193059135339908;1.0
;;7;0.07626858;0.0033385828;0.0034914166;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:44:00;51.451477;523.09;471.63855;369.88050130208336;14.85276184435201;4.0942487716674805;82.47893;31.02745;-1.0;370.1785917336192;0.7848777244500383;1.0
;;8;0.08004721;0.0032272115;0.0033627898;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 20:26:00;41.932137;959.19763;917.2655;553.7930338541667;14.825249556997116;8.428801536560059;72.968;31.035866;-1.0;553.9914370907094;0.6039597426495339;1.0
;;9;0.08388939;0.0029993877;0.00311061;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:30:00;41.214302;419.0121;377.7978;296.2862955729167;11.897544655535494;3.532069206237793;53.028503;11.814201;-1.0;296.5250756903237;0.7848777391641792;1.0
;;10;0.08914359;0.0021435916;0.0021964088;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:22:00;43.526295;482.7462;439.21988;341.353125;13.123672236317786;3.416921615600586;57.08824;13.561947;-1.0;341.60530839000717;0.7777546614028372;1.0
;;11;0.094331026;0.0029910281;0.0030889735;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:50:00;32.057056;711.0838;679.02673;355.54189453125;9.665566095468398;8.914192199707031;49.421803;17.364746;-1.0;355.6732516437192;0.5237985990089409;1.0
;;12;0.10034606;0.002926059;0.0030139387;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 20:58:00;20.732851;361.34396;340.6111;255.50877278645834;7.836281173610785;5.866278171539307;37.483814;16.750963;-1.0;255.62891126293576;0.7505007921914713;1.0
;;13;0.1064537;0.0030937046;0.003186293;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:43:00;33.639442;513.0015;479.3621;296.18157552083335;9.710870899147581;5.8795647621154785;46.12047;12.481026;-1.0;296.3407273589356;0.6181980863378094;1.0
;;14;0.11339084;0.0037508383;0.0038791597;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:57:00;39.274586;422.77936;383.50476;244.09176432291667;9.525485816475408;5.227125644683838;42.102512;2.8279266;-1.0;244.27755584644729;0.6369609476912433;1.0
;;15;0.1208843;0.003614299;0.0037257;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:06:00;26.230867;290.92416;264.6933;205.71443684895834;7.908903736284291;4.24667501449585;38.02536;11.794493;-1.0;205.86641369197133;0.7777545369798381;1.0
;;16;0.12889628;0.0042862818;0.0044337213;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:53:00;20.33292;248.06163;227.72871;175.40607096354168;6.429834251603917;4.418452739715576;29.33509;9.002171;-1.0;175.52388013991177;0.7707586674739286;1.0
;;17;0.13754342;0.0042134225;0.0043465793;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 20:12:00;18.521486;251.06905;232.54756;177.5326171875;6.173828925461066;5.180434703826904;30.21163;11.690144;-1.0;177.6399344996622;0.7638864636665336;1.0
;;18;0.14656305;0.004673049;0.004826948;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 20:19:00;15.536845;315.91586;300.37903;182.39410807291668;5.178948674436475;7.976953029632568;24.469278;8.932433;-1.0;182.46761950846857;0.6074579191790054;1.0
;;19;0.15700583;0.0056158304;0.0058241636;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:57:00;21.42732;201.08716;179.65984;142.190087890625;5.942869308142062;3.9579269886016846;20.44247;-0.98484993;-1.0;142.31422553616108;0.7921315573413139;1.0
;;20;0.16852538;0.0056953877;0.0058946162;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:25:00;6.079721;278.14725;272.06754;160.58839518229166;3.0398605596823773;11.75699520111084;22.698046;16.618324;0.7181362509727478;160.6171641495584;0.5903576989190743;1.0
