Plot_period;Averaging;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_proton_uncertainty;Bg_proton_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2021-05-07-1630;Mean;0;7.197842;0.15284204;0.15615797;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:50:00;0.0;0.8494084;0.8494084;0.4247041940689087;0.0;inf;0.032601777;0.032601777;inf;0.4247041940689087;0.5;1.0
2021-05-08-0030;Resampled to 1min;1;7.617287;0.26328707;0.27271318;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 22:00:00;0.0;0.48967758;0.48967758;0.24483879407246908;0.0;inf;0.021842467;0.021842467;inf;0.24483879407246908;0.5000000101435188;1.0
;;2;8.181611;0.2916112;0.30238914;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:54:00;0.0;0.43501338;0.43501338;0.2175066868464152;0.0;inf;0.017599087;0.017599087;inf;0.2175066868464152;0.499999988581837;1.0
;;3;8.8270645;0.3430643;0.3569355;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:49:00;0.0;0.37495312;0.37495312;0.18747655550638834;0.0;inf;0.01555822;0.01555822;inf;0.18747655550638834;0.49999998675286733;1.0
;;4;9.409726;0.22572613;0.23127365;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:36:00;0.0;0.15323417;0.15323417;0.15323416392008463;0.0;inf;0.0025433057;0.0025433057;inf;0.15323416392008463;0.9999999675852078;1.0
;;5;10.669771;0.06977081;0.07022953;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:30:00;0.0;2.9274004;2.9274004;1.6901353200276692;0.0;inf;0.11741993;0.11741993;inf;1.6901353200276692;0.577350248556945;1.0
;;6;10.859337;0.11933708;0.12066269;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:54:00;0.0;2.104377;2.104377;0.7953797976175944;0.0;inf;0.07609188;0.07609188;inf;0.7953797976175944;0.3779644929484439;1.0
;;7;11.163466;0.18346691;0.18653297;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:50:00;0.0;1.0557432;1.0557432;0.4310053586959839;0.0;inf;0.056948803;0.056948803;inf;0.4310053586959839;0.4082482857238351;1.0
;;8;11.572813;0.22281265;0.22718716;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:50:00;0.0;0.54667217;0.54667217;0.2733360727628072;0.0;inf;0.028354365;0.028354365;inf;0.2733360727628072;0.49999998182803496;1.0
;;9;12.110905;0.3109045;0.3190956;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:57:00;0.0;0.3919263;0.3919263;0.19596314430236816;0.0;inf;0.02439375;0.02439375;inf;0.19596314430236816;0.5;1.0
;;10;13.0400305;0.6100302;0.6399698;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:55:00;0.00083109975;0.3041825;0.3033514;0.12418198585510254;0.0008310997258118593;46.733463;0.014935655;0.014104554;2.172907829284668;0.12418476693085642;0.40937594484933276;1.0
;;11;14.137355;0.45735455;0.47264576;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:24:00;0.0;0.13324273;0.13324273;0.09421683351198833;0.0;inf;0.0080166785;0.0080166785;inf;0.09421683351198833;0.7071067675505187;1.0
;;12;15.121061;0.51106167;0.5289383;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:52:00;0.0;0.24098708;0.24098708;0.12049354116121928;0.0;inf;0.01099941;0.01099941;inf;0.12049354116121928;0.5000000103056433;1.0
;;13;16.224457;0.57445717;0.5955429;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:43:00;0.0;0.16005635;0.16005635;0.09240857760111491;0.0;inf;0.009740636;0.009740636;inf;0.09240857760111491;0.5773502650231508;1.0
;;14;17.496399;0.67639923;0.70359993;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 22:00:00;0.0;0.2703872;0.2703872;0.11038510998090108;0.0;inf;0.0091625;0.0091625;inf;0.11038510998090108;0.4082482786158179;1.0
;;15;18.911108;0.71110725;0.7388935;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:44:00;0.0;0.128667;0.128667;0.07428592443466187;0.0;inf;0.0074744313;0.0074744313;inf;0.07428592443466187;0.5773502622443222;1.0
;;16;20.429537;0.7795372;0.81046295;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:35:00;0.0;0.07735927;0.07735927;0.054701258738835655;0.0;inf;0.0038519138;0.0038519138;inf;0.054701258738835655;0.7071067392148469;1.0
;;17;22.160072;0.92007256;0.9599266;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:52:00;0.0;0.09960953;0.09960953;0.05750959118207296;0.0;inf;0.003995403;0.003995403;inf;0.05750959118207296;0.5773502830288998;1.0
