Plot_period;Averaging;Energy_channel;Primary_energy;Energy_error_low;Energy_error_high;Bg_start;Bg_end;Searchstart;Searchend;Peak_timestamp;Background_flux;Flux_peak;Bg_subtracted_peak;Peak_proton_uncertainty;Bg_proton_uncertainty;Peak_significance;Flux_average;Bg_subtracted_average;Average_significance;Backsub_peak_uncertainty;rel_backsub_peak_err;frac_nonan
2021-05-07-1630;Mean;0;0.0071613234;0.0014363234;0.0017966763;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:53:44.910104320;91942.87;1398890.5;1306947.6;329721.66;4418.492486338798;12.792927;453074.3;361131.44;3.5348992347717285;329751.2561732735;0.25230640453038317;1.0
2021-05-08-0030;Resampled to 1min;1;0.007390646;0.0013836459;0.0017023538;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:44:14.909159808;72140.96;1650224.4;1578083.4;497561.38;5437.829576502732;13.758254;313688.5;241547.53;2.105891466140747;497591.0861646369;0.3153135595035572;1.0
;;2;0.0075441166;0.0013281167;0.0016118833;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:49:54.909723136;55917.52;1153003.5;1097086.0;407648.3;4692.494193989071;13.225758;257023.72;201106.2;2.424406051635742;407675.31729767576;0.37159832255418057;1.0
;;3;0.007818013;0.0012970134;0.0015549865;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 19:27:04.895521536;48226.277;655942.56;607716.3;197774.14;2803.0956284153003;10.773532;165393.6;117167.31;2.07712984085083;197794.0092143896;0.3254709560135258;1.0
;;4;0.008119988;0.0012589884;0.0014900118;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:45:54.909325440;34216.35;596342.06;562125.7;243455.62;3048.2346311475408;9.244296;110571.76;76355.41;1.2556835412979126;243474.7037175865;0.43313214309848896;1.0
;;5;0.008360003;0.0012610033;0.0014849966;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 19:12:54.894112896;29610.186;717176.06;687565.9;239058.69;2539.052424863388;14.059899;91805.19;62195.0;1.2718132734298706;239072.16852493768;0.3477080192860614;1.0
;;6;0.008650285;0.0012342851;0.0014397148;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 21:57:44.910502016;22105.822;359588.06;337482.25;146801.2;1902.5664275956285;9.392221;52398.312;30292.49;0.843048095703125;146813.5341411391;0.43502594326409494;1.0
;;7;0.009052244;0.0012332443;0.0014277557;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 19:00:44.892903168;13452.014;142708.31;129256.3;58260.426;934.9795081967213;7.4555864;33265.57;19813.557;1.1428587436676025;58267.926912502626;0.45079372008353175;1.0
;;8;0.009504343;0.0012093438;0.0013856562;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 18:41:04.890947840;11193.846;162255.34;151061.5;81127.67;1113.8292349726776;7.536212;26591.85;15398.004;0.768181324005127;81135.31714096322;0.5371012279168631;1.0
;;9;0.009856334;0.0012133336;0.001383666;2021-05-07-1700;2021-05-07-1800;2021-05-07 18:00:00;2021-05-07 22:00:00;2021-05-07 19:00:14.892853504;12992.5;154642.44;141649.94;77321.22;1171.4942793715848;6.2443724;21209.639;8217.139;-1.0;77330.09214301119;0.5459239411454819;1.0
